CO_CURSO;NT_GER;QT_ALUNOS;QE_I11_A;QE_I11_B;QE_I11_C;QE_I11_D;QE_I11_E;QE_I11_F;QE_I11_G;QE_I11_H;QE_I11_I;QE_I11_J;QE_I11_K;NT_GER_PREVISTA
10059;34.166666666666664;36;0.0;0.41304347826086957;0.391304347826087;0.0;0.043478260869565216;0.0;0.06521739130434782;0.021739130434782608;0.043478260869565216;0.0;0.021739130434782608;36.83230570108512
100684;30.02857142857143;7;0.0;0.625;0.0;0.0;0.125;0.0;0.0;0.125;0.125;0.0;0.0;33.20088866640101
100816;44.01904761904762;21;0.9090909090909091;0.0;0.09090909090909091;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;40.02652229198327
101318;44.56;10;0.0;0.45454545454545453;0.0;0.0;0.09090909090909091;0.09090909090909091;0.0;0.09090909090909091;0.18181818181818182;0.09090909090909091;0.0;35.98869550612042
101558;42.04090909090909;22;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;42.3127285162353
10159;26.613333333333333;15;0.0;0.16666666666666666;0.2222222222222222;0.1111111111111111;0.0;0.0;0.16666666666666666;0.05555555555555555;0.16666666666666666;0.05555555555555555;0.05555555555555555;33.463472009844516
101700;34.17777777777778;18;0.0;0.631578947368421;0.10526315789473684;0.0;0.0;0.0;0.05263157894736842;0.15789473684210525;0.05263157894736842;0.0;0.0;33.880575898850616
101710;35.80769230769231;13;0.0;0.07142857142857142;0.07142857142857142;0.0;0.0;0.0;0.07142857142857142;0.07142857142857142;0.5714285714285714;0.07142857142857142;0.07142857142857142;35.06335402511393
101712;39.25833333333333;24;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;42.3127285162353
101830;37.089999999999996;20;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;42.3127285162353
101942;35.676811594202896;69;0.9054054054054054;0.0;0.0;0.0;0.0;0.0;0.04054054054054054;0.05405405405405406;0.0;0.0;0.0;38.30366323361807
101984;44.44285714285714;14;0.8125;0.0;0.0;0.0;0.0;0.0;0.1875;0.0;0.0;0.0;0.0;37.257876978854895
102186;23.692857142857143;14;0.0;0.5333333333333333;0.0;0.0;0.13333333333333333;0.0;0.0;0.06666666666666667;0.13333333333333333;0.13333333333333333;0.0;34.940469104688184
102590;41.91818181818182;11;0.9473684210526315;0.05263157894736842;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;39.36274928762878
103062;42.34;35;0.9487179487179487;0.0;0.0;0.0;0.0;0.0;0.02564102564102564;0.0;0.02564102564102564;0.0;0.0;40.95735687904081
1032473;38.06;5;0.0;0.3333333333333333;0.0;0.16666666666666666;0.0;0.0;0.16666666666666666;0.16666666666666666;0.16666666666666666;0.0;0.0;33.96588205251734
103441;38.31333333333334;15;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;42.3127285162353
103806;32.6;2;0.0;0.5;0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;38.03732489646447
104360;32.11176470588235;17;0.11764705882352941;0.11764705882352941;0.058823529411764705;0.0;0.7058823529411765;0.0;0.0;0.0;0.0;0.0;0.0;34.74823298353194
