id;NU_ANO;CO_CURSO;QE_I11
3329d77c-4cf9-42f6-81eb-758db9a3ff72;2021;1187671;A
cb518f49-4fb2-47bb-baeb-84f0eee5925b;2021;13881;A
ea0611f0-ce88-4282-8a71-25aa25119e01;2021;14217;A
49609297-a316-47dd-9402-fda63d9a731c;2021;3211;A
e349f5a3-2aa2-4608-bc30-ac0ac66376d9;2021;13446;A
8e266e00-6f97-457f-a4c0-fb73dcf94c87;2021;108660;A
a93ef106-ea7a-4497-9ff5-dbd7a68f5ebe;2021;150086;A
0a28abe1-b14b-47aa-b0fb-6e3c22e34ea2;2021;15002;A
55ef2074-a578-4d50-88e6-2ef890115662;2021;1286732;A
651a554c-2c3e-4b66-a035-b5fa6229bba8;2021;60464;A
7e565715-d91a-4f2c-8a32-959d1bda40e0;2021;101942;A
86f75f05-510c-4d77-82c1-e6029a2eaa8c;2021;1452;A
3134dd1c-27df-4f3a-99a0-8910da7c587d;2021;14217;A
dc6d1ae9-7016-4dc1-a5f6-510efdfa2055;2021;1101244;A
ba84136d-3020-472d-853e-ebd1f52758e2;2021;113687;A
f32c279a-3c2f-44f6-99a3-c40b16cf3a96;2021;1181115;A
c5b29d60-0940-4c00-a40d-2802645d4fc2;2021;13401;A
ce3432a3-f40a-4dc3-8e71-eb33229b81b8;2021;101942;A
89abb2fd-3731-4b33-a427-10a239c98ec9;2021;1181115;A
06829478-55b1-4e60-8403-31836b6aa591;2021;113687;A
1927766b-efd0-4e34-83fe-2d07c30cf891;2021;1269970;A
a97ea003-ca54-40c6-ab16-a5e977cf9260;2021;1269970;A
8ae4dc7f-e351-4a0a-81fc-d0d9cac22fe5;2021;1314243;A
b14ed66f-414e-4093-9906-bdf5f0f4e256;2021;69853;A
f0ec2dde-39ff-4782-b8c4-b95ea80ad795;2021;13595;A
b3e028e3-6de2-4fa6-ab80-8b48651ae525;2021;15869;A
8669f755-a267-434d-9e3a-f3c6c8fa5480;2021;118002;A
e830c315-9dc1-4d70-941f-ba83283c3c76;2021;64276;A
d9cbaccc-abff-4419-bdbd-5d2e391515f3;2021;12710;A
f6677441-d7a6-4cd1-8ced-5fc1d9ed88c9;2021;1404230;A
4978f1d6-5acf-44df-b266-a69148e9b41e;2021;101942;A
f728f088-c610-499b-8187-6fe902efd14a;2021;1126898;A
4f67d85e-e628-4755-9836-d02bccfb61fc;2021;1113854;A
54ad6c33-4cc2-47aa-b774-aafbe3373efe;2021;14137;A
63ffceb9-8eac-4074-92ba-b36d81a4cfbb;2021;101942;A
6d22ffa0-ca5f-4841-88ca-3db1a04b611f;2021;1102783;A
8496d1ba-b9a9-4546-bfc4-b50abf9ced53;2021;87195;A
c917a975-3824-443b-aeb4-312137ba7918;2021;18387;A
5083a3fe-d658-4a2f-ac7c-3fd233bb1584;2021;41238;A
ad63753a-ac35-4546-a758-cf244e38a393;2021;1113852;A
cc4efec6-7c39-48dc-ad78-6565c3a10b61;2021;1473094;A
57a1d48a-9a86-4f4b-8083-a368475bd7c6;2021;1269970;A
7a2c1a3f-c84c-4cd1-b95d-3e8975cc9752;2021;1265453;A
fee3968c-8e8b-4122-8a37-c7dc8a5dabc0;2021;98665;A
f609e118-4b3e-42f7-a44c-29f202459a14;2021;13980;A
e36851bf-2f24-4b3c-b53d-d97928e104a6;2021;113455;A
404255a7-7ae4-40e7-88c5-a190a2db12ca;2021;60462;A
814fcd14-8034-47ba-b88d-b908d6b56355;2021;108660;A
551e34cb-9a7f-40fd-91d9-2eda95196e68;2021;1102783;A
2d85f035-1a60-49dc-8db4-a4bf907703fe;2021;1312023;A
904434e3-0956-474c-821c-786b0d3132bc;2021;60428;A
