id;NU_ANO;CO_CURSO;NU_ITEM_OFG;NU_ITEM_OFG_Z;NU_ITEM_OFG_X;NU_ITEM_OFG_N;NU_ITEM_OCE;NU_ITEM_OCE_Z;NU_ITEM_OCE_X;NU_ITEM_OCE_N;DS_VT_GAB_OFG_FIN;DS_VT_GAB_OCE_FIN;DS_VT_ESC_OFG;DS_VT_ACE_OFG;DS_VT_ESC_OCE;DS_VT_ACE_OCE;TP_PRES;TP_PR_GER;TP_PR_OB_FG;TP_PR_DI_FG;TP_PR_OB_CE;TP_PR_DI_CE;TP_SFG_D1;TP_SFG_D2;TP_SCE_D1;TP_SCE_D2;TP_SCE_D3;NT_GER;NT_FG;NT_OBJ_FG;NT_DIS_FG;NT_FG_D1;NT_FG_D1_PT;NT_FG_D1_CT;NT_FG_D2;NT_FG_D2_PT;NT_FG_D2_CT;NT_CE;NT_OBJ_CE;NT_DIS_CE;NT_CE_D1;NT_CE_D2;NT_CE_D3;CO_RS_I1;CO_RS_I2;CO_RS_I3;CO_RS_I4;CO_RS_I5;CO_RS_I6;CO_RS_I7;CO_RS_I8;CO_RS_I9
db7dbdd0-15f4-4d32-a566-1545e7aa97b3;2021;1187671;8;0;0;0;27;2;6;0;ECBBAACD;EBDXXCCBXEDAXACEXADBZEEXZCD;........;00000000;...........................;000990009000900090008009800;555;555;333;333;333;555;333;333;333;555;333;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;
0873e272-1533-42ec-94d4-47bc7503a66e;2021;13595;8;0;0;0;27;2;6;0;ECBBAACD;EBDXXCCBXEDAXACEXADBZEEXZCD;........;00000000;...........................;000990009000900090008009800;555;333;333;333;333;333;333;333;333;333;333;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;
0e500e1c-b793-478b-a06a-b3bb24424c82;2021;1119382;8;0;0;0;27;1;5;0;ECBBAACD;XECBDCDAXXABXEBBEEXADEACZDD;A.......;00000000;...........................;900000009900900000900000800;555;555;555;555;333;333;336;333;333;333;333;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;A;.;.;.;.;.;.;.;.
dc353f8a-080b-4049-bc6e-c6b002e9f1ea;2021;53520;8;0;0;0;27;1;5;0;ECBBAACD;XECBDCDAXXABXEBBEEXADEACZDD;........;00000000;...........................;900000009900900000900000800;555;333;333;333;333;333;333;333;333;333;333;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;
00a5d191-b07b-44ba-a366-12e71c9c7840;2021;114616;8;0;0;0;27;1;5;0;ECBBAACD;XECBDCDAXXABXEBBEEXADEACZDD;.AA.....;00000000;..A........................;900000009900900000900000800;555;555;555;555;555;555;335;335;336;335;336;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;
84bba6ce-5d9a-4153-b012-7bed9415b72d;2021;13881;8;0;0;0;27;2;6;0;ECBBAACD;EBDXXCCBXEDAXACEXADBZEEXZCD;........;00000000;...........................;000990009000900090008009800;555;333;333;333;333;333;333;333;333;333;333;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;
3790c3bb-17ae-4cd4-9b6a-99b1a2d90b75;2021;74586;8;0;0;0;27;1;5;0;ECBBAACD;XECBDCDAXXABXEBBEEXADEACZDD;BAAAADDE;00001000;ACEAEBEC...................;900000009900900000900000800;555;555;555;333;555;555;333;333;555;555;333;1.9;7.5;12.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;
769763b6-c7c0-45f2-9ba8-b0e6299efda5;2021;88380;8;0;0;0;27;1;5;0;ECBBAACD;XECBDCDAXXABXEBBEEXADEACZDD;BCECEBEC;01000000;...........................;900000009900900000900000800;555;555;555;333;333;555;333;333;333;555;555;1.9;7.5;12.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;
de25db4d-4811-49a3-8574-a7cdc450580b;2021;7142;8;0;0;0;27;2;6;0;ECBBAACD;EBDXXCCBXEDAXACEXADBZEEXZCD;AADDDBBC;00000000;DCCECAEDBCCBDBDBDCBADABDBDB;000990009000900090008009800;555;555;555;555;555;555;555;555;555;555;555;2.1;8.4;0.0;21.0;34.0;50.0;30.0;8.0;40.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;C;C;C;A;A;C;E;C;C
6d94c8eb-2598-4b66-88d9-51dbda4dbc04;2021;102186;8;0;0;0;27;2;6;0;ECBBAACD;EBDXXCCBXEDAXACEXADBZEEXZCD;AAAAEDCC;00000010;BDABEAEEDAADACABAEAABBAADDE;000990009000900090008009800;555;555;555;555;555;555;555;555;555;333;333;2.5;10.1;12.5;6.5;5.0;25.0;0.0;8.0;40.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;C;C;C;C;C;C;C;C;C
